Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2024-03-04 10:30,TP,20010,1,400000,196,0.05,4,200,0.05,-50,-0.01,196,0.02,20
1,Entry long,2024-03-04 09:36,L,20000,1,400000,196,0.05,4,200,0.05,-50,-0.01,196,0.02,20
2,Exit short,2024-09-10 11:00,SL,19520,1,390000,-404,-0.1,4,30,0.01,-404,-0.1,-208,-0.02,12
2,Entry short,2024-09-10 10:00,S,19500,1,390000,-404,-0.1,4,30,0.01,-404,-0.1,-208,-0.02,12
3,Exit long,2025-02-03 10:15,TP1,21010,1,420000,196,0.05,4,200,0.05,-10,0,-12,0,13
3,Entry long,2025-02-03 09:39,L,21000,1,420000,196,0.05,4,200,0.05,-10,0,-12,0,13
4,Exit long,2025-02-04 09:45,Trail,21030,1,420000,596,0.14,4,700,0.17,-10,0,584,0.06,130
4,Entry long,2025-02-03 09:39,L,21000,1,420000,596,0.14,4,700,0.17,-10,0,584,0.06,130
5,Exit short,2025-06-02 10:12,Open,18990,1,380000,196,0.05,4,200,0.05,-60,-0.02,780,0.08,4
5,Entry short,2025-06-02 10:00,S,19000,1,380000,196,0.05,4,200,0.05,-60,-0.02,780,0.08,4
